NOMBRE_DEL_POZO,CIMA_(md),BASE_(md),NIVEL_DE_REFERENCIA,POROSIDAD_(%),VOLUMEN_DE_ARCILLA_(%),SATURACION_DE_AGUA_(%),FORMACION_GEOLOGICA,COMENTARIOS,
MOLOACAN-325,390,392,MR,28,SIN INFORMACION,22,ENCANTO,BAJA RECUPERACION,
MOLOACAN-325,407,411,MR,31,SIN INFORMACION,21,ENCANTO,BAJA RECUPERACION,
MOLOACAN-325,440,443,MR,29,SIN INFORMACION,28,ENCANTO,BAJA RECUPERACION,
MOLOACAN-325,453,466,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,INTERVALO CON PRODUCCION,
MOLOACAN-325,495,510,MR,27,SIN INFORMACION,40,ENCANTO,FLUYO POZO SIN PRESION,
MOLOACAN-326,521,524,MR,30,SIN INFORMACION,35,ENCANTO,EXPLOTADO POR BM,
MOLOACAN-326,364,374,MR,22,SIN INFORMACION,23,ENCANTO,EXPLOTADO POR BM,
MOLOACAN-326,486,488,MR,24,SIN INFORMACION,30,ENCANTO,EXPLOTADO POR BM,
MOLOACAN-326,478,482,MR,21,SIN INFORMACION,28,ENCANTO,EXPLOTADO POR BM,
MOLOACAN-326,397,402,MR,21,SIN INFORMACION,35,ENCANTO,EXPLOTADO POR BM,
MOLOACAN-326,311,314,MR,24,SIN INFORMACION,22,ENCANTO,EXPLOTADO POR BM,
MOLOACAN-326,290,294,MR,20,SIN INFORMACION,18,ENCANTO,EXPLOTADO POR BM,
MOLOACAN-327,462,472,MR,32,SIN INFORMACION,29,ENCANTO,PRODUCTOR DE REC. SEC.,
MOLOACAN-327,527,538,MR,27,SIN INFORMACION,27,ENCANTO,INTERVALO CON PRODUCCION,
MOLOACAN-328,485,499,MR,25,SIN INFORMACION,33,ENCANTO,PRODUCTOR DE ACEITE CON BOMBEO MECANICO, 
MOLOACAN-328,557,563,MR,24,SIN INFORMACION,33,ENCANTO,PRODUCTOR DE ACEITE CON BOMBEO MECANICO, 
MOLOACAN-329,292,295,MR,20,SIN INFORMACION,25,ENCANTO,ACEITE VISCOSO,
MOLOACAN-329,462,465,MR,19,SIN INFORMACION,28,ENCANTO,INTERVALO CON PRODUCCION,
MOLOACAN-329,470,473,MR,22,SIN INFORMACION,25,ENCANTO,INTERVALO CON PRODUCCION,
MOLOACAN-329,488,492,MR,17,SIN INFORMACION,33,ENCANTO,INTERVALO CON PRODUCCION,
MOLOACAN-329,497,501,MR,17,SIN INFORMACION,32,ENCANTO,INTERVALO CON PRODUCCION,
MOLOACAN-329,511,513,MR,21,SIN INFORMACION,28,ENCANTO,INTERVALO CON PRODUCCION,
MOLOACAN-329,518,519,MR,18,SIN INFORMACION,22,ENCANTO,INTERVALO CON PRODUCCION,
MOLOACAN-329,526,539,MR,24,SIN INFORMACION,20,ENCANTO,INTERVALO CON PRODUCCION,
MOLOACAN-330,472,483,MR,21,SIN INFORMACION,35,ENCANTO,PRODUCTOR DE ACEITE CON BOMBEO MECANICO, 
MOLOACAN-330,527,533,MR,24,SIN INFORMACION,25,ENCANTO,PRODUCTOR DE ACEITE CON BOMBEO MECANICO, 
MOLOACAN-330,533,545,MR,24,SIN INFORMACION,25,ENCANTO,PRODUCTOR DE ACEITE CON BOMBEO MECANICO, 
MOLOACAN-331,370,378,MR,17,SIN INFORMACION,22,ENCANTO,INTERVALO CON PRODUCCION DE ACEITE, 
MOLOACAN-331,385,393,MR,18,SIN INFORMACION,21,ENCANTO,INTERVALO CON PRODUCCION DE ACEITE,
MOLOACAN-331,435,440,MR,27,SIN INFORMACION,34,ENCANTO,INTERVALO CON PRODUCCION DE ACEITE,
MOLOACAN-331,455,460,MR,23,SIN INFORMACION,39,ENCANTO,INTERVALO CON PRODUCCION DE ACEITE,
